event,label,points,description
win,Win,5,Applies to every match. Penalty shootout winners count as match winners.
draw,Draw,2,Applies to drawn matches before any penalty shootout.
goal_for,Goal scored,1,Each goal in normal or extra time scores one point. Shootout goals do not count.
clean_sheet,Clean sheet,3,A team earns this when it concedes no goals in normal or extra time.
group_qualify,Qualify from group,5,Awarded once a team is confirmed through the group stage.
group_winner,Win group,5,Awarded once a team is confirmed top of its group.
group_unbeaten,Finish group unbeaten,3,Awarded for completing the group without a loss.
progress_last_32,Furthest stage: Last 32,5,Progress points are based on the furthest stage reached only.
progress_last_16,Furthest stage: Last 16,8,Replaces the Last 32 progress score if the team goes further.
progress_quarter_final,Furthest stage: Quarter Final,12,Replaces earlier progress scores when the team reaches the quarters.
progress_semi_final,Furthest stage: Semi Final,18,Replaces earlier progress scores when the team reaches the semis.
progress_final,Furthest stage: Final,25,Replaces earlier progress scores when the team reaches the final.
progress_winner,Furthest stage: Winner,35,The tournament winner gets this as its furthest-stage score.
tier_2_group_qualify,T2 qualifies from group,2,Tier bonus for a T2 team getting out of the group.
tier_2_quarter_final,T2 reaches Quarter Final,5,Tier bonuses are cumulative for lower-tier overperformance.
tier_2_semi_final,T2 reaches Semi Final,8,Added on top of earlier T2 tier bonuses.
tier_2_final,T2 reaches Final,10,Added on top of earlier T2 tier bonuses.
tier_2_winner,T2 wins tournament,15,Added if a T2 team wins the whole tournament.
tier_3_group_qualify,T3 qualifies from group,4,Tier bonus for a T3 team getting out of the group.
tier_3_quarter_final,T3 reaches Quarter Final,8,Tier bonuses are cumulative for lower-tier overperformance.
tier_3_semi_final,T3 reaches Semi Final,12,Added on top of earlier T3 tier bonuses.
tier_3_final,T3 reaches Final,15,Added on top of earlier T3 tier bonuses.
tier_3_winner,T3 wins tournament,20,Added if a T3 team wins the whole tournament.
upset_tier_2_over_1,T2 beats T1,3,Awarded when a T2 team beats a T1 team.
upset_tier_3_over_2,T3 beats T2,3,Awarded when a T3 team beats a T2 team.
upset_tier_3_over_1,T3 beats T1,5,Awarded when a T3 team beats a T1 team.
